;country;most-similarity;value
0;bosnien-herzegowina;jugoslawien;0.7185086755885131
1;jugoslawien;bosnien-herzegowina;0.7185086755885131
2;athiopien;eritrea;0.7188648687836298
3;eritrea;athiopien;0.7188648687836298
4;djibuti;athiopien;0.7263030910128722
5;guinea;guinea-bissau;0.7281497061933968
6;guinea-bissau;guinea;0.7281497061933968
8;aserbaidschan;armenien;0.794585435460475
7;armenien;aserbaidschan;0.794585435460475
9;honduras;el-salvador;0.8045056776664073
10;el-salvador;honduras;0.8045056776664073
11;danemark;gronland;0.823991723070976
12;gronland;danemark;0.823991723070976
13;guyana;franzosisch-guyana;0.8242630606996255
14;franzosisch-guyana;guyana;0.8242630606996255
16;jordanien;israel;0.8244213028125791
15;israel;jordanien;0.8244213028125791
17;guatemala;honduras;0.8248771907949284
19;argentinien;chile;0.8264827144327003
18;chile;argentinien;0.8264827144327003
20;elfenbeinkuste;burkina-faso;0.8338082605549133
21;burkina-faso;elfenbeinkuste;0.8338082605549133
22;belize;guatemala;0.8382491144126629
23;kirgisistan;kasachstan;0.842171777263718
24;kasachstan;kirgisistan;0.842171777263718
25;haiti;dominikanische-republik;0.8448717393328306
26;dominikanische-republik;haiti;0.8448717393328306
28;indien;bangladesh;0.8454228517753556
27;bangladesh;indien;0.8454228517753556
29;falkland-inseln;argentinien;0.8475227425532351
30;faroer-inseln;danemark;0.853808943559951
31;agypten;israel;0.856722326310877
32;kap-verde;guinea-bissau;0.8592410994481908
33;franzosisches-sud-territorium;antarktis;0.8615787762744941
34;antarktis;franzosisches-sud-territorium;0.8615787762744941
35;bolivien;argentinien;0.8658647408370083
36;gabun;aquatorial-guinea;0.8688346124748456
37;aquatorial-guinea;gabun;0.8688346124748456
38;heard-und-mcdonald-islands;australien;0.8695630952213791
39;australien;heard-und-mcdonald-islands;0.8695630952213791
99;kiribati;fidschi;0.8742134391045735
40;fidschi;kiribati;0.8742134391045735
41;kamerun;aquatorial-guinea;0.8775815297691025
42;irak;jordanien;0.88204545435909
43;deutschland;frankreich;0.8848329133696968
44;frankreich;deutschland;0.8848329133696968
45;griechenland;albanien;0.8949263319299451
46;albanien;griechenland;0.8949263319299451
47;iran;irak;0.8989439930658129
48;benin;burkina-faso;0.9013924588350016
49;guadeloupe;frankreich;0.904165389483123
50;bulgarien;griechenland;0.9046364268914567
51;ghana;elfenbeinkuste;0.9058113766149001
52;ecuador;bolivien;0.9070458224861102
53;georgien;armenien;0.9087561086586144
54;afghanistan;iran;0.9104581568168032
55;island;falkland-inseln;0.9129337686072244
56;italien;frankreich;0.9148115969337698
57;brasilien;argentinien;0.9148731516536381
58;bhutan;indien;0.9157262561557901
60;irland;grobritannien;0.9177845707071199
59;grobritannien;irland;0.9177845707071199
61;costa-rica;ecuador;0.9217823218401082
62;estland;finnland;0.9229716093801348
63;finnland;estland;0.9229716093801348
64;christmas-island;island;0.9230254090367653
65;belgien;frankreich;0.9257765836470874
66;birma;bangladesh;0.9261646231083578
67;algerien;frankreich;0.928214835325688
68;antigua-und-barbuda;grenada;0.9284165050652644
69;grenada;antigua-und-barbuda;0.9284165050652644
70;kenia;athiopien;0.9299280532695847
71;barbados;grenada;0.9332097518064991
72;gambia;guinea-bissau;0.9348289943045056
73;bouvet-inseln;antarktis;0.9358527980352722
74;bahrain;irak;0.9383549658700739
75;kanada;frankreich;0.9391391703077779
76;franzosisch-polynesien;frankreich;0.9392681222416646
77;cook-inseln;kiribati;0.9393878439755654
78;jemen;djibuti;0.9408616669484532
79;jamaika;kanada;0.9444871428104571
80;japan;deutschland;0.9488532147772826
81;angola;aquatorial-guinea;0.9498814152112561
82;guam;japan;0.9513839521247559
83;bahamas;haiti;0.9518852281032367
84;indonesien;australien;0.9524169735495001
85;kaiman-inseln;jamaika;0.954930018040034
86;kambodscha;japan;0.955010327111128
87;hong-kong;china;0.9553832904200023
88;china;hong-kong;0.9553832904200023
89;andorra;frankreich;0.9566735619055001
90;britisch-indischer-ozean;island;0.9600328452495661
91;brunei;indonesien;0.9630187789045436
92;botswana;angola;0.9683869430787707
93;bermudas;barbados;0.9725209044955869
94;anguilla;antigua-und-barbuda;0.9748195983159778
95;burundi;belgien;0.977757019164881
96;aruba;belgien;0.9846140794328505
97;gibraltar;algerien;0.9874636487005845
98;dominika;italien;0.9903103151348556
